Czas (s),Kana³ 1 (g),Kana³ 2 (g),Kana³ 3 (g),Kana³ 4 (g)
1.910095504775238817e-02,-1.479467497621314055e-02,-5.378277137546473227e-03,-8.301167488151633619e-03,2.165765870000000218e-02
1.920096004800240022e-02,-1.479467497621314055e-02,-5.321645074349445718e-03,-4.943594218009459383e-03,1.805649340000000172e-02
1.930096504825241227e-02,-1.816258763082778324e-02,-1.024863457249070887e-02,-1.148507317535542999e-02,2.348875970000000382e-02
1.940097004850242432e-02,-2.309832169362512760e-02,-7.870087918215617692e-03,-1.183240834123220654e-02,1.781234660000000081e-02
1.950097504875243637e-02,-2.356286137012369303e-02,-1.300768587360580635e-03,-7.606497156398082243e-03,2.654059470000000309e-02
1.960098004900244842e-02,-2.425967088487155504e-02,-5.265013011152418210e-03,-1.183240834123220654e-02,2.184076880000000373e-02
1.970098504925246047e-02,-2.373706374881066547e-02,-4.189003810408917228e-03,-9.632618957345944616e-03,1.982655770000000400e-02
1.980099004950247599e-02,-2.710497640342531336e-02,-1.047516282527879809e-02,-7.201272796208513932e-03,2.690681490000000273e-02
1.990099504975248804e-02,-3.308592473834443687e-02,-1.177770027881040737e-02,-1.148507317535542999e-02,1.970448430000000181e-02
2.000100005000250009e-02,-3.082129381541389226e-02,-1.155117202602229907e-02,-1.466897886255922809e-02,1.988759440000000336e-02
2.010100505025251214e-02,-3.854426593720267080e-02,-1.081495520446096141e-02,-1.507420322274879640e-02,2.324461290000000291e-02
2.020101005050252418e-02,-3.256331760228354383e-02,-1.019200250929368050e-02,-1.409008691943126022e-02,2.361083310000000254e-02
2.030101505075253623e-02,-3.360853187440532991e-02,-8.889465055762071216e-03,-1.605831952606633084e-02,1.946033750000000090e-02
2.040102005100254828e-02,-3.453761122740248157e-02,-9.908842193308543822e-03,-1.930011440758291896e-02,2.013174120000000428e-02
2.050102505125256033e-02,-3.656997231208374000e-02,-1.375982249070630686e-02,-1.409008691943126022e-02,2.147454860000000063e-02
2.060103005150257585e-02,-3.802165880114177082e-02,-1.438277518587360859e-02,-1.808444132701419321e-02,2.660163140000000245e-02
2.070103505175258790e-02,-4.086696431969553955e-02,-7.133871096654261813e-03,-2.028423071090045687e-02,1.909411730000000473e-02
2.080104005200259995e-02,-3.883460323501427419e-02,-1.206086059479554405e-02,-2.005267393364926556e-02,2.342772300000000099e-02
2.090104505225261200e-02,-4.202831351094196699e-02,-1.602510501858736211e-02,-1.547942758293836471e-02,1.628642910000000638e-02
2.100105005250262405e-02,-3.976368258801141892e-02,-1.460930343866169781e-02,-1.941589279620850594e-02,2.300046610000000200e-02
2.110105505275263610e-02,-4.905447611798287311e-02,-1.353329423791821765e-02,-1.999478473933647207e-02,2.373290650000000127e-02
2.120106005300264815e-02,-4.057662702188392229e-02,-1.795059516728623322e-02,-2.288924445497628538e-02,2.171869540000000154e-02
2.130106505325266020e-02,-3.895073815413891555e-02,-1.562868057620817042e-02,-1.368486255924169191e-02,1.561502540000000473e-02
2.140107005350267572e-02,-4.400260713606089780e-02,-1.557204851301114204e-02,-2.329446881516585369e-02,2.226802570000000273e-02
2.150107505375268777e-02,-3.807972626070409150e-02,-1.109811552044609982e-02,-2.092101184834121649e-02,2.019277790000000364e-02
2.160108005400269982e-02,-3.209877792578497147e-02,-8.209880297397761928e-03,-1.895277924170614414e-02,1.622539240000000355e-02
